run_id,keyword,total_answers,appeared_count,appearance_rate,avg_rank,best_rank
20260511_232131,deli,29,0,0.0000,,
20260511_232131,Ryobi,29,25,0.8621,1.7200,1
20260511_232131,Craftsman,29,17,0.5862,3.7647,1
20260511_232131,DeWalt,29,23,0.7931,2.7391,1
20260511_232131,Milwaukee,29,18,0.6207,4.1111,2
20260511_232131,Kobalt,29,15,0.5172,3.7333,2
20260511_232131,Tekton,29,4,0.1379,4.0000,2
20260511_232131,Husky,29,11,0.3793,3.9091,1
20260511_232131,Bauer,29,6,0.2069,3.8333,1
20260511_232131,Makita,29,16,0.5517,3.3750,1
