run_id,platform_id,keyword,total_questions,appeared_count,appearance_rate,avg_rank,best_rank,missed_count
20260512_175912,deepseek,deli,0,0,0.0000,,,0
20260512_175912,deepseek,Ryobi,0,0,0.0000,,,0
20260512_175912,deepseek,Craftsman,0,0,0.0000,,,0
20260512_175912,deepseek,DeWalt,0,0,0.0000,,,0
20260512_175912,deepseek,Milwaukee,0,0,0.0000,,,0
20260512_175912,deepseek,Kobalt,0,0,0.0000,,,0
20260512_175912,deepseek,Tekton,0,0,0.0000,,,0
20260512_175912,deepseek,Husky,0,0,0.0000,,,0
20260512_175912,deepseek,Bauer,0,0,0.0000,,,0
20260512_175912,deepseek,Makita,0,0,0.0000,,,0
20260512_175912,doubao,deli,1,0,0.0000,,,1
20260512_175912,doubao,Ryobi,1,0,0.0000,,,1
20260512_175912,doubao,Craftsman,1,1,1.0000,1.0000,1,0
20260512_175912,doubao,DeWalt,1,1,1.0000,3.0000,3,0
20260512_175912,doubao,Milwaukee,1,1,1.0000,4.0000,4,0
20260512_175912,doubao,Kobalt,1,1,1.0000,2.0000,2,0
20260512_175912,doubao,Tekton,1,0,0.0000,,,1
20260512_175912,doubao,Husky,1,0,0.0000,,,1
20260512_175912,doubao,Bauer,1,0,0.0000,,,1
20260512_175912,doubao,Makita,1,0,0.0000,,,1
20260512_175912,yuanbao,deli,0,0,0.0000,,,0
20260512_175912,yuanbao,Ryobi,0,0,0.0000,,,0
20260512_175912,yuanbao,Craftsman,0,0,0.0000,,,0
20260512_175912,yuanbao,DeWalt,0,0,0.0000,,,0
20260512_175912,yuanbao,Milwaukee,0,0,0.0000,,,0
20260512_175912,yuanbao,Kobalt,0,0,0.0000,,,0
20260512_175912,yuanbao,Tekton,0,0,0.0000,,,0
20260512_175912,yuanbao,Husky,0,0,0.0000,,,0
20260512_175912,yuanbao,Bauer,0,0,0.0000,,,0
20260512_175912,yuanbao,Makita,0,0,0.0000,,,0
20260512_175912,tongyi,deli,1,0,0.0000,,,1
20260512_175912,tongyi,Ryobi,1,1,1.0000,1.0000,1,0
20260512_175912,tongyi,Craftsman,1,1,1.0000,4.0000,4,0
20260512_175912,tongyi,DeWalt,1,1,1.0000,2.0000,2,0
20260512_175912,tongyi,Milwaukee,1,1,1.0000,3.0000,3,0
20260512_175912,tongyi,Kobalt,1,0,0.0000,,,1
20260512_175912,tongyi,Tekton,1,1,1.0000,5.0000,5,0
20260512_175912,tongyi,Husky,1,0,0.0000,,,1
20260512_175912,tongyi,Bauer,1,1,1.0000,6.0000,6,0
20260512_175912,tongyi,Makita,1,0,0.0000,,,1
20260512_175912,kimi,deli,1,0,0.0000,,,1
20260512_175912,kimi,Ryobi,1,1,1.0000,1.0000,1,0
20260512_175912,kimi,Craftsman,1,0,0.0000,,,1
20260512_175912,kimi,DeWalt,1,1,1.0000,2.0000,2,0
20260512_175912,kimi,Milwaukee,1,1,1.0000,3.0000,3,0
20260512_175912,kimi,Kobalt,1,0,0.0000,,,1
20260512_175912,kimi,Tekton,1,0,0.0000,,,1
20260512_175912,kimi,Husky,1,0,0.0000,,,1
20260512_175912,kimi,Bauer,1,0,0.0000,,,1
20260512_175912,kimi,Makita,1,0,0.0000,,,1
20260512_175912,wenxin,deli,1,1,1.0000,1.0000,1,0
20260512_175912,wenxin,Ryobi,1,0,0.0000,,,1
20260512_175912,wenxin,Craftsman,1,0,0.0000,,,1
20260512_175912,wenxin,DeWalt,1,0,0.0000,,,1
20260512_175912,wenxin,Milwaukee,1,0,0.0000,,,1
20260512_175912,wenxin,Kobalt,1,0,0.0000,,,1
20260512_175912,wenxin,Tekton,1,0,0.0000,,,1
20260512_175912,wenxin,Husky,1,0,0.0000,,,1
20260512_175912,wenxin,Bauer,1,0,0.0000,,,1
20260512_175912,wenxin,Makita,1,1,1.0000,2.0000,2,0
